"parallel_domain","Pressure","Velocity:0","Velocity:1","Velocity:2","TurbEner","Dissip","TurbVisc","total_pressure","Points:0","Points:1","Points:2"
3.49153,-1.17763,0.251595,0.431061,-5.69066,0.354875,66.4587,0.000406975,101324,0.0227987,-0.00130723,-0.04
3.12743,-0.724926,0.233715,0.381118,-5.15487,0.353055,80.7721,0.00029181,101324,0.0253646,0.00441644,-0.04
3.42994,-1.29072,0.219935,0.425281,-5.80846,0.373398,62.9132,0.000614027,101324,0.0215431,-0.000247458,-0.04
3.95351,-0.883676,0.355302,0.435365,-5.62211,0.463495,166.329,0.000202799,101324,0.0226993,-0.00955672,-0.04
3.98924,-0.360892,0.205033,0.173692,-4.92439,0.92294,362.497,0.000235704,101325,0.0302044,-0.00779885,-0.04
3.6729,-2.24143,-0.0159839,0.27678,-6.82623,0.470881,30.9917,0.00221871,101323,0.0129388,-0.00351942,-0.04
3.66916,-2.26321,-0.0224665,0.274133,-6.84629,0.472077,29.956,0.00224294,101323,0.0127632,-0.00346273,-0.04
4,-1.69561,0.100837,0.332072,-6.41684,0.58228,214.558,0.000426786,101323,0.0139029,-0.0128333,-0.04
4,-0.989114,0.334773,0.423669,-5.7178,0.470108,166.308,0.000256102,101324,0.0213783,-0.0105731,-0.04
4,-4.2177,-0.19883,1.08942,-6.02637,1.62409,1943.6,0.00012543,101321,0.00840612,-0.0324749,-0.04
4,-4.96748,0.551814,0.359233,-8.36134,4.99638,8407,0.000215658,101320,0.00351305,-0.0399618,-0.04
4,-2.53085,-0.349828,1.05115,-5.61879,0.735918,818.132,0.000106174,101322,0.0125081,-0.0405577,-0.04
3,0.153275,-0.120468,-0.109416,-7.16701,0.20792,62.1639,8.29875e-05,101325,0.0394209,0.0288013,-0.04
3,0.323288,-0.108134,-0.0925119,-6.93902,0.222663,87.309,6.19853e-05,101325,0.0401642,0.0233286,-0.04
3,0.267023,-0.0879392,-0.103106,-6.99732,0.238678,85.193,7.91469e-05,101325,0.0425104,0.0251793,-0.04
3.66376,-2.25267,-0.0194538,0.275978,-6.83293,0.469069,28.672,0.00223145,101323,0.0128956,-0.00335145,-0.04
3.66684,-2.26844,-0.0226806,0.273986,-6.84876,0.470307,28.2221,0.00225229,101323,0.0127693,-0.00338665,-0.04
4,-0.885616,0.381117,0.432731,-5.62665,0.463361,171.065,0.000173783,101324,0.0226283,-0.0106133,-0.04
3,0.180799,-0.0513277,-0.113779,-7.18927,0.27404,70.0992,0.000129322,101325,0.05,0.0314649,-0.04
3,0.081851,-0.126334,-0.114777,-7.28862,0.202551,48.2651,9.66304e-05,101325,0.0398173,0.0319169,-0.04
1,-6.55324,0.549799,0.933531,-6.30672,0.172317,44.0395,6.76131e-05,101318,-0.0300771,-0.0367878,-0.04
1,-6.79732,0.358369,0.945688,-5.99285,0.227528,83.4539,6.29165e-05,101318,-0.0232269,-0.0392441,-0.04
