"parallel_domain","Pressure","Velocity:0","Velocity:1","Velocity:2","TurbEner","Dissip","TurbVisc","total_pressure","Points:0","Points:1","Points:2"
2,1.53724,-0.0705225,0.111588,-6.96754,0.184314,54.5287,6.59528e-05,101327,0.00637348,-0.0410168,-0.06
4,1.75175,-0.108694,-0.145876,-7.91266,0.432448,92.9708,0.000219906,101327,0.0422193,0.0381467,-0.06
4,1.44072,-0.0928102,-0.0962328,-7.86792,0.437384,100.773,0.000201888,101326,0.0422459,0.0411228,-0.06
4,1.51434,-0.117953,-0.12724,-7.97748,0.411854,88.0606,0.000208603,101327,0.0411662,0.0399382,-0.06
3.2527,2.53051,-0.0192187,0.00508722,-6.76917,0.194179,71.0008,5.57815e-05,101328,0.0110914,0.05,-0.06
3,2.11926,0.00808369,-0.0301067,-6.79142,0.145198,61.5205,3.24185e-05,101327,0.00448196,0.05,-0.06
3,2.22784,0.000876197,-0.0320894,-6.92878,0.141412,58.2941,3.2665e-05,101327,0.00629271,0.0486567,-0.06
1,2.06118,0.0416004,0.082051,-6.88833,0.36023,177.5,8.3932e-05,101327,-0.0415908,-0.00272947,-0.06
1,2.48649,-0.0188018,0.0883224,-6.81269,0.322846,147.84,8.23418e-05,101327,-0.0453907,-0.00276135,-0.06
1,1.95364,0.0389172,0.121301,-6.85169,0.376919,181.086,8.90502e-05,101327,-0.0412427,-0.00560279,-0.06
1,1.18261,0.00842715,0.0610561,-7.35949,0.273519,92.5603,9.27071e-05,101326,-0.0374907,-0.05,-0.06
1,1.25814,0.117686,0.0111536,-7.38297,0.293647,83.347,0.000114809,101326,-0.0337831,-0.05,-0.06
1,1.12788,0.136253,0.00311355,-7.49635,0.294278,79.5558,0.000120448,101326,-0.033113,-0.0489107,-0.06
1,1.34036,0.109339,0.055705,-7.74146,0.211114,44.9312,0.000109849,101326,-0.0289391,-0.0398451,-0.06
1,1.36165,0.110181,0.0556317,-7.73857,0.210359,44.6297,0.000109829,101326,-0.0290349,-0.0396253,-0.06
1,1.28868,0.128706,0.0663367,-7.80864,0.217022,46.8749,0.000111977,101326,-0.031375,-0.0396796,-0.06
1.37937,1.65667,0.0580024,0.0767584,-7.18091,0.230634,70.4633,7.70953e-05,101327,-0.0108608,-0.0414143,-0.06
1.31134,1.68007,0.0624937,0.0730265,-7.16963,0.233594,71.4284,7.73338e-05,101327,-0.0115848,-0.0410797,-0.06
1.29312,1.67565,0.0678193,0.0705975,-7.17367,0.234352,72.7609,7.71959e-05,101327,-0.0118049,-0.041528,-0.06
2,1.60771,0.00796386,0.150142,-7.11654,0.212337,67.8214,7.32051e-05,101327,-0.00454175,-0.0419007,-0.06
1.32414,1.74537,0.059451,0.0674495,-7.10891,0.235644,71.3372,7.8358e-05,101327,-0.0113454,-0.0405524,-0.06
1.94486,1.8945,0.00235059,0.134315,-6.86199,0.225287,70.1955,7.662e-05,101327,-0.00484303,-0.0391161,-0.06
2,1.27192,-0.00623074,0.128852,-7.61399,0.187018,38.1047,0.000101613,101326,0.0285267,-0.0378788,-0.06
2,1.37493,0.0244875,-0.0150997,-6.45732,0.176722,71.881,4.70035e-05,101326,0.0223831,-0.0317024,-0.06
2,1.59682,-0.0877289,0.0589102,-7.08812,0.170441,49.3671,6.06722e-05,101327,0.0140637,-0.0411195,-0.06
2,1.44523,-0.0579375,0.062025,-7.17759,0.194713,52.3874,7.6572e-05,101326,0.0169102,-0.0412171,-0.06
2,1.57581,-0.0605133,0.0451712,-7.10998,0.165025,45.8833,6.20508e-05,101327,0.0152407,-0.0402221,-0.06
2,1.70945,-0.126523,0.129532,-6.8402,0.226492,75.7959,7.0084e-05,101327,0.0313517,-0.0257043,-0.06
2,1.71594,-0.106726,0.0686899,-6.55241,0.368728,144.664,9.71235e-05,101327,0.0315806,-0.0216977,-0.06
2,1.68885,-0.112508,0.0616674,-6.4125,0.366787,144.103,9.427e-05,101327,0.0302708,-0.0221367,-0.06
2.82762,0.781859,0.271644,-0.0738926,-5.84076,0.393668,16.2877,0.0021329,101326,0.0219227,-0.0045474,-0.06
2.86769,0.787493,0.271158,-0.0702059,-5.83983,0.392162,16.3306,0.00212118,101326,0.0219804,-0.0043295,-0.06
2.84227,0.747988,0.269011,-0.0732961,-5.86486,0.39957,15.3999,0.00227037,101326,0.0217607,-0.0044653,-0.06
3,2.24934,0.10377,-0.0573615,-7.10863,0.199219,60.5998,6.755e-05,101327,-0.0406575,0.0137409,-0.06
2.88113,2.27465,0.0972149,-0.0501682,-7.04557,0.19726,60.6974,6.60177e-05,101327,-0.0403293,0.0122943,-0.06
3,2.61511,-0.0606528,0.0922147,-6.82159,0.241618,115.7,5.06465e-05,101328,-0.049042,0.0488411,-0.06
3,2.05654,0.146221,0.00711392,-7.42194,0.270946,90.9612,9.57994e-05,101327,-0.0443289,0.0438231,-0.06
3,1.42137,-0.000494398,-0.0922869,-7.35172,0.268775,96.1444,8.97222e-05,101326,-0.0429159,0.0484234,-0.06
3,2.14614,-0.0860503,0.0193949,-6.93321,0.247727,112.294,5.86265e-05,101327,-0.0471419,0.05,-0.06
3,2.62031,-0.0982841,0.116487,-6.69486,0.235222,120.096,4.20025e-05,101328,-0.05,0.05,-0.06
3,2.05896,0.155093,-0.0713376,-7.94661,0.269195,63.809,0.000134598,101327,-0.0393243,0.0409975,-0.06
1,0.930744,-0.323755,-0.14226,-5.70197,0.389977,16.0149,0.00189685,101326,-0.023528,-0.00540454,-0.06
