"parallel_domain","Pressure","Velocity:0","Velocity:1","Velocity:2","TurbEner","Dissip","TurbVisc","total_pressure","Points:0","Points:1","Points:2"
4,-1.46506e+17,6.76512e+08,7.27859e+07,7.29761e+08,4.73476e+15,2.1966e+22,10713.2,-1.46506e+17,0.0182021,0.0296367,-0.06
4,-1.93978e+17,2.9779e+08,-2.07112e+08,6.05185e+08,1.33308e+16,1.69516e+23,86001.1,-1.93978e+17,0.0232765,0.0388286,-0.06
3,-2.33296e+18,1.25701e+08,1.34445e+08,8.95479e+07,3.57884e+16,3.01752e+23,5.81948e+07,-2.33296e+18,0.0204559,-0.00525925,-0.06
3,-1.83448e+18,1.12102e+08,1.37048e+08,8.69456e+07,3.55924e+16,2.69202e+23,5.42499e+07,-1.83448e+18,0.0197173,-0.00558118,-0.06
3,-6.96601e+17,-2.12094e+06,1.58617e+08,-4.58308e+07,3.85216e+16,4.4307e+23,8.09929e+07,-6.96601e+17,0.0153098,-0.011989,-0.06
3,-4.55455e+18,5.25115e+07,1.4798e+08,-1.02866e+08,4.20933e+16,8.45987e+23,1.33275e+08,-4.55455e+18,0.0193703,-0.0129492,-0.06
1,-4.64537e+16,-4.02052e+07,-4.55282e+07,-5.32589e+08,3.38572e+16,3.48552e+22,21004,-4.64537e+16,-0.0113191,-0.0313601,-0.06
1,-2.70139e+16,-3.14907e+08,1.18481e+08,-9.83917e+08,6.57656e+15,1.01803e+22,2377.79,-2.70139e+16,-0.0194392,-0.0402471,-0.06
1,-2.01301e+17,-4.62674e+08,5.65903e+07,-1.18651e+09,3.06213e+16,5.58088e+22,49059.2,-2.01301e+17,-0.0152474,-0.0477482,-0.06
1,-2.43766e+17,-5.03102e+08,3.74952e+07,-1.23977e+09,3.72175e+16,6.80348e+22,61467.3,-2.43766e+17,-0.0142114,-0.05,-0.06
1,-2.55078e+17,-5.12138e+08,3.766e+07,-1.24742e+09,3.78579e+16,6.91839e+22,62334.6,-2.55078e+17,-0.0138858,-0.05,-0.06
3.17546,-4.32673e+17,2.84836e+07,-1.13437e+07,1.81459e+07,2.92065e+15,5.96729e+20,8.50378e+07,-4.32673e+17,0.0057478,0.0390608,-0.06
3.15932,-4.35344e+17,2.89985e+07,-1.11776e+07,1.70257e+07,2.9272e+15,3.18441e+20,8.60998e+07,-4.35344e+17,0.00558857,0.0389714,-0.06
1,-2.27939e+16,-3.12687e+08,1.13867e+08,-9.69122e+08,4.71663e+15,7.93158e+21,1643.67,-2.27939e+16,-0.0201244,-0.0407178,-0.06
4,-1.44865e+17,6.2597e+08,2.93437e+07,6.55528e+08,1.62074e+16,6.19966e+22,44668.7,-1.44865e+17,0.0156762,0.0205121,-0.06
4,-1.45238e+17,6.04831e+08,2.34039e+07,5.9197e+08,2.11656e+16,6.86061e+22,70487.8,-1.45238e+17,0.0150014,0.0197707,-0.06
4,-3.46753e+17,5.1146e+08,8.43203e+07,7.30312e+08,4.4437e+16,1.1486e+23,606775,-3.46753e+17,0.0163513,0.0118906,-0.06
4,-3.47995e+17,4.41171e+08,6.457e+07,5.18976e+08,6.09234e+16,1.36837e+23,692625,-3.47995e+17,0.0141076,0.00942541,-0.06
3,-1.87986e+19,6.41906e+06,9.46264e+07,2.14943e+07,5.419e+16,3.04131e+25,6.85849e+08,-1.87986e+19,0.0315755,-0.0174356,-0.06
3,-2.65945e+19,-1.73554e+07,1.27912e+08,-4.62604e+07,6.12211e+16,2.55346e+25,7.94917e+08,-2.65945e+19,0.0305657,-0.0211815,-0.06
3,1.32036e+20,5.82589e+06,1.23198e+08,-4.13938e+07,9.52242e+16,2.81459e+26,1.6082e+09,1.32036e+20,0.0335077,-0.0215007,-0.06
4,-1.43935e+17,6.43502e+08,2.41267e+07,7.08694e+08,1.16061e+16,5.2583e+22,29868.9,-1.43935e+17,0.0163939,0.0222432,-0.06
4,-1.14083e+17,4.4898e+08,1.14897e+08,3.10671e+08,2.11485e+15,3.93192e+21,2.98042e+06,-1.14083e+17,0.0139013,0.0316248,-0.06
4,-1.3014e+17,5.46883e+08,4.27075e+07,5.30223e+08,1.0401e+16,4.4501e+22,1.29619e+06,-1.3014e+17,0.0145827,0.0231855,-0.06
2.29083,-9.07705e+17,-4.7533e+08,1.77136e+08,-6.98329e+08,9.91173e+17,1.37795e+24,5.76919e+06,-9.07705e+17,0.00182439,-0.0413163,-0.06
1.09529,-4.25752e+17,-4.53111e+08,1.08363e+08,-1.09125e+09,2.45305e+17,3.30064e+23,724353,-4.25752e+17,-0.0074881,-0.0403216,-0.06
1.01071,-4.02675e+17,-4.66152e+08,1.01386e+08,-1.12315e+09,1.82071e+17,2.49628e+23,363099,-4.02675e+17,-0.00811232,-0.0406014,-0.06
1.427,-8.55291e+17,-8.51653e+08,7.07422e+07,-1.09246e+09,1.7111e+17,4.51455e+23,2.00662e+06,-8.55291e+17,-0.00397649,-0.05,-0.06
1,5.55281e+16,5.08141e+07,-1.58793e+07,-2.50355e+08,3.47395e+14,7.58436e+18,631488,5.55281e+16,-0.0289871,-0.0129036,-0.06
1,5.81202e+16,6.31038e+07,8.62544e+07,-4.07509e+08,1.23169e+14,5.97245e+18,145977,5.81202e+16,-0.0296858,-0.0201434,-0.06
