4,-1.81661,-0.229577,0.000302023,-4.0891,0.562117,553.277,57.3435,-0.160534,2.55327,-0.214725,0.038363,-0.05,-0.04
4,-1.93483,-0.104473,-0.010706,-4.18374,0.676079,711.077,56.4128,-1.65865,1.05445,-0.227582,0.05,-0.05,-0.04
1,-5.34511,-0.0314457,-0.046724,-2.67752,0.323927,284.148,40.8042,2.13068,3.9272,-0.151637,-0.0471548,-0.05,-0.04
1,-5.82291,0.0270922,0,-2.43152,0.294796,230.102,43.422,0.00114777,6.46674,-0.147219,-0.0405716,-0.05,-0.04
1,-5.17813,-0.0707818,-0.0726573,-2.77412,0.34196,341.078,36.5945,2.91079,3.01044,-0.156251,-0.05,-0.05,-0.04
1,-6.58436,0.102251,0,-2.03292,0.236335,141.196,45.8008,0.00633377,7.36827,-0.132243,-0.0327108,-0.05,-0.04
1.50402,-6.18815,-0.0171439,0,-2.19512,0.407951,490.821,53.0216,-0.00281227,6.63012,-0.158742,-0.00951866,-0.05,-0.04
2.44323,-4.88321,0.0247708,0,-2.15468,0.469353,664.001,51.1058,0.000523387,5.51026,-0.167586,-0.00328908,-0.05,-0.04
1,-6.93318,-0.0703789,0,-2.36302,0.346958,317.212,49.9985,-0.00567048,7.24665,-0.153353,-0.0134981,-0.05,-0.04
3.7139,-2.80187,0.0459317,0,-2.51183,0.510287,681.682,58.2048,0.00341847,3.6402,-0.170275,0.00616604,-0.05,-0.04
4,-2.38658,0.039664,0,-2.58066,0.50991,669.477,58.0613,0.00330699,3.26955,-0.169539,0.00799087,-0.05,-0.04
4,-1.83238,-0.243023,0,-4.05289,0.546405,533.746,56.9789,-0.0125139,2.72596,-0.212264,0.0369237,-0.05,-0.04
4,-1.84275,-0.239362,0,-4.07139,0.551063,541.688,57.0505,-0.0123296,2.73476,-0.213383,0.03732,-0.05,-0.04
4,-1.99991,-0.316693,0,-3.51695,0.407657,273.486,56.1341,-0.0161082,2.76498,-0.177561,0.0266045,-0.05,-0.04
1,-6.90935,0.0889042,0,-2.12349,0.249562,159.705,46.2041,0.00601288,7.55044,-0.136695,-0.0278045,-0.05,-0.04
1,-6.92178,0.0370616,0,-2.20748,0.270446,201.958,43.5021,0.00294727,7.31572,-0.139609,-0.0221732,-0.05,-0.04
1,-6.71365,0.119202,0,-2.08861,0.241612,151.841,45.5417,0.00778875,7.46384,-0.134822,-0.0310387,-0.05,-0.04
4,-2.34824,0.0197728,0,-2.63731,0.493764,615.532,57.7649,0.00213429,3.2309,-0.168371,0.00908416,-0.05,-0.04
4,-2.11452,-0.228228,0,-3.28477,0.39058,253.239,56.0962,-0.0117018,3.08112,-0.165488,0.0187393,-0.05,-0.04
1,-6.90816,-0.00914972,0,-2.13385,0.293617,230.477,48.8223,-0.00104473,7.19795,-0.142183,-0.0181174,-0.05,-0.04
4,-1.87612,-0.268866,0,-3.30599,0.38333,237.058,57.264,-0.0137178,2.80995,-0.165984,0.0215323,-0.05,-0.04
4,-1.81484,-0.237928,0,-4.07538,0.552933,543.706,57.1476,-0.0122498,2.70665,-0.213502,0.0374586,-0.05,-0.04
1,-5.96239,0,0.117961,-3.21045,0.449865,370.7,50.7629,6.42992,0.00551898,-0.170897,-0.05,-0.0409482,-0.04
1,-5.38705,-0.0423189,-0.0193274,-2.85673,0.372181,334.856,42.4178,3.81947,2.19891,-0.158185,-0.05,-0.0472634,-0.04
2,-1.60372,-0.0698405,0.07669,-3.08618,0.368292,402.548,27.3907,1.96588,-1.34959,-0.166378,-0.05,0.05,-0.04
2,-1.14118,-0.0237706,0.0696549,-3.17877,0.392156,398.943,33.7306,2.10532,-0.629564,-0.164975,-0.05,0.044425,-0.04
1,-8.02293,0,0.252943,-3.16711,0.423562,255.22,64.2444,8.30612,0.012888,-0.157913,-0.05,-0.0305491,-0.04
